program,number,name,credit,prerequisite,Corequisite,Anti-requisite,Advisory Prerequisite
MAT,314,Abstract Algebra II,3,MAT 313 or permission of the instructor,,,
MAT,315,Advanced Linear Algebra,4,"B or higher in MAT 200 or MAT 250; B or higher in MAT 211, AMS 219, MAT 308, or MAT 220; or permission of the instructor",,,
MAT,319,Foundations of Analysis,4,"C or higher in MAT 200 or MAT 250 or permission of instructor; C or higher in one of the following: MAT 203, 211, 220, 307, AMS 261, or A- or higher in MAT 127, 132, 142, or AMS 161",,,
MAT,320,Introduction to Analysis,4,"B or higher in MAT 200 or MAT 250 or permission of instructor; C or higher in one of the following: MAT 203, 211, 220, 307, AMS 261, or A- or higher in MAT 127, 132, 142, or AMS 161",,,
MAT,322,Analysis in Several Dimensions,3,"C or higher in MAT 203, MAT 220, MAT 307, or AMS 261; C or higher in MAT 310 or MAT 315; B or higher in MAT 320",,,
MAT,324,Real Analysis,3,B or higher in MAT 320,,,
MAT,331,Computer-Assisted Mathematical Problem Solving,3,C or higher in MAT 203 or 205 or 307 or AMS 261,,,
MAT,336,History of Mathematics,3,MAT 200 or MAT 203 or or MAT 250 or MAT 307 or AMS 261,,,
MAT,341,Applied Real Analysis,3,C or higher in the following: MAT 203 or 220 or 307 or AMS 261; MAT 303 or 305 or 308 or AMS 361,,,MAT 200 or MAT 250
MAT,342,Applied Complex Analysis,3,C or higher in the following: MAT 203 or MAT 220 or MAT 307 or AMS 261,,,MAT 200 or MAT 250
MAT,351,Differential Equations: Dynamics and Chaos,3,C or higher in the following: MAT 203 or MAT 220 or MAT 307 or AMS 261; MAT 303 or MAT 308 or AMS 361; MAT 200 or MAT 250 or permission of instructor,,,
MAT,360,Geometric Structures,3,,MAT 203 or 220 or 307 or AMS 261; MAT 200 or MAT 250 or permission of instructor,,
MAT,362,Differential Geometry of Surfaces,3,C or higher in MAT 319 or MAT 320 or MAT 364; MAT 203 or MAT 307 or MAT 322,,,
MAT,364,Topology and Geometry,3,MAT 203 or 220 or 307 or AMS 261; MAT 200 or 250,,,MAT 319 or 320
MAT,371,Logic,3,CSE 113 or CSE 150 or CSE 215 or MAT 200 or MAT 250,,,
MAT,373,Analysis of Algorithms,3,C or higher in: CSE 113 or CSE 150 or CSE 215 or MAT 200 or MAT 250; MAT 211 or AMS 210; CSE 214 or CSE 260; CSE or MAT or DAS major,,,
MAT,401,Seminar in Mathematics,3,U3/U4; permission of department or instructor; additional prerequisites announced with topic,,,
MAT,402,Seminar in Mathematics,3,U3/U4; permission of department or instructor; additional prerequisites announced with topic,,,
MAT,444,Experiential Learning,0,WRT 102 or equivalent; permission of the instructor and approval of the EXP+ contract (http://sb.cc.stonybrook.edu/bulletin/current/policiesandregulations/degree_requirements/EXPplus.php),,,
MAT,458,Speak Effectively Before an Audience,0,,WRT 102 or equivalent; permission of the instructor,,
MAT,459,Write Effectively in Mathematics,0,WRT 102; permission of the instructor,,,
MAT,475,Undergraduate Teaching Practicum,3,Permission of the director of undergraduate studies,,,
MAT,487,Independent Study in Special Topics,0-6,Permission of the director of undergraduate studies,,,
MAT,495,Honors Thesis,3,Permission of the director of undergraduate studies,,,
